OrderItemId,OrderId,ItemId,ItemPrice
47-07,47,14,999
47-08,47,16,29
47-09,47,8,10
47-10,47,15,56
48-01,48,12,114
48-02,48,6,168
48-03,48,1,109
48-04,48,9,64
48-05,48,16,29
48-06,48,3,55
48-07,48,11,109
49-01,49,2,22
49-02,49,5,695
49-03,49,9,64
49-04,49,19,7
49-05,49,15,56
49-06,49,3,55
49-07,49,10,109
49-08,49,12,114
50-01,50,10,109
50-02,50,16,29
51-01,51,17,39
51-02,51,12,114
51-03,51,1,109
51-04,51,6,168
51-05,51,10,109
51-06,51,16,29
51-07,51,8,10
51-08,51,11,109
52-01,52,18,9
52-02,52,17,39
53-01,53,16,29
53-02,53,11,109
53-03,53,9,64
54-01,54,16,29
54-02,54,4,15
55-01,55,12,114
55-02,55,7,9
55-03,55,8,10
55-04,55,2,22
56-01,56,3,55
56-02,56,18,9
56-03,56,6,168
56-04,56,20,12
56-05,56,17,39
56-06,56,5,695
56-07,56,10,109
56-08,56,11,109
56-09,56,4,15
56-10,56,2,22
57-01,57,1,109
57-02,57,10,109
57-03,57,2,22
57-04,57,9,64
57-05,57,16,29
57-06,57,12,114
57-07,57,8,10
57-08,57,6,168
57-09,57,17,39
58-01,58,9,64
59-01,59,12,114
59-02,59,13,599
59-03,59,9,64
59-04,59,16,29
59-05,59,15,56
59-06,59,5,695
59-07,59,7,9
59-08,59,17,39
59-09,59,19,7
59-10,59,14,999
60-01,60,2,22
60-02,60,8,10
60-03,60,13,599
60-04,60,14,999
60-05,60,4,15
60-06,60,18,9
60-07,60,9,64
60-08,60,1,109
61-01,61,11,109
61-02,61,20,12
62-01,62,4,15
62-02,62,13,599
62-03,62,20,12
62-04,62,12,114
62-05,62,18,9
62-06,62,17,39
62-07,62,11,109
63-01,63,10,109
64-01,64,16,29
64-02,64,8,10
64-03,64,11,109
65-01,65,12,114
65-02,65,6,168
65-03,65,16,29
65-04,65,18,9
65-05,65,8,10
65-06,65,7,9
65-07,65,9,64
65-08,65,14,999
66-01,66,1,109
66-02,66,5,695
66-03,66,3,55
66-04,66,19,7
66-05,66,11,109
66-06,66,16,29
66-07,66,10,109
66-08,66,9,64
67-01,67,7,9
67-02,67,1,109
67-03,67,20,12
67-04,67,9,64
67-05,67,17,39
68-01,68,6,168
68-02,68,8,10
68-03,68,3,55
69-01,69,11,109
69-02,69,16,29
69-03,69,13,599
69-04,69,3,55
69-05,69,12,114
69-06,69,7,9
69-07,69,18,9
70-01,70,19,7
70-02,70,2,22
70-03,70,5,695
70-04,70,1,109
70-05,70,11,109
71-01,71,19,7
71-02,71,16,29
71-03,71,2,22
71-04,71,4,15
71-05,71,11,109
71-06,71,3,55
72-01,72,5,695
72-02,72,4,15
72-03,72,1,109
72-04,72,19,7
72-05,72,16,29
72-06,72,7,9
73-01,73,20,12
73-02,73,11,109
73-03,73,14,999
73-04,73,18,9
74-01,74,7,9
74-02,74,20,12
74-03,74,14,999
74-04,74,16,29
74-05,74,10,109
75-01,75,4,15
75-02,75,14,999
75-03,75,3,55
75-04,75,15,56
75-05,75,13,599
75-06,75,16,29
75-07,75,6,168
75-08,75,7,9
75-09,75,10,109
75-10,75,5,695
76-01,76,2,22
76-02,76,18,9
77-01,77,1,109
77-02,77,3,55
77-03,77,9,64
77-04,77,2,22
77-05,77,4,15
77-06,77,7,9
77-07,77,5,695
77-08,77,6,168
78-01,78,6,168
78-02,78,20,12
78-03,78,16,29
78-04,78,5,695
79-01,79,18,9
79-02,79,2,22
80-01,80,10,109
81-01,81,6,168
81-02,81,7,9
81-03,81,10,109
81-04,81,18,9
81-05,81,5,695
81-06,81,17,39
82-01,82,3,55
83-01,83,3,55
83-02,83,7,9
83-03,83,16,29
83-04,83,4,15
84-01,84,18,9
84-02,84,3,55
85-01,85,1,109
85-02,85,3,55
85-03,85,20,12
85-04,85,19,7
85-05,85,7,9
85-06,85,17,39
85-07,85,12,114
85-08,85,9,64
85-09,85,15,56
86-01,86,18,9
86-02,86,8,10
86-03,86,11,109
86-04,86,4,15
86-05,86,3,55
86-06,86,9,64
87-01,87,5,695
87-02,87,20,12
87-03,87,14,999
87-04,87,11,109
87-05,87,10,109
88-01,88,11,109
88-02,88,15,56
88-03,88,16,29
88-04,88,19,7
88-05,88,8,10
88-06,88,12,114
88-07,88,10,109
89-01,89,3,55
89-02,89,5,695
89-03,89,17,39
89-04,89,12,114
89-05,89,16,29
89-06,89,6,168
89-07,89,11,109
89-08,89,10,109
90-01,90,2,22
90-02,90,7,9
90-03,90,12,114
90-04,90,10,109
90-05,90,16,29
90-06,90,5,695
91-01,91,3,55
91-02,91,16,29
92-01,92,4,15
92-02,92,16,29
92-03,92,13,599
93-01,93,20,12
93-02,93,10,109
94-01,94,4,15
94-02,94,7,9
94-03,94,8,10
94-04,94,20,12
94-05,94,15,56
94-06,94,12,114
94-07,94,10,109
94-08,94,18,9
95-01,95,11,109
95-02,95,5,695
96-01,96,5,695
96-02,96,1,109
96-03,96,4,15
97-01,97,17,39
97-02,97,14,999
97-03,97,6,168
97-04,97,5,695
97-05,97,9,64
97-06,97,4,15
97-07,97,19,7
97-08,97,1,109
98-01,98,16,29
98-02,98,1,109
98-03,98,13,599
98-04,98,15,56
98-05,98,5,695
99-01,99,9,64
99-02,99,17,39
99-03,99,5,695
100-01,100,13,599
100-02,100,3,55
100-03,100,2,22
100-04,100,16,29
100-05,100,11,109
101-01,101,10,109
101-02,101,2,22
101-03,101,4,15
101-04,101,9,64
101-05,101,8,10
101-06,101,3,55
101-07,101,13,599
101-08,101,6,168
101-09,101,7,9
101-10,101,15,56
102-01,102,7,9
102-02,102,5,695
102-03,102,2,22
102-04,102,10,109
102-05,102,11,109
102-06,102,12,114
102-07,102,19,7
102-08,102,14,999
102-09,102,17,39
103-01,103,2,22
103-02,103,4,15
103-03,103,17,39
103-04,103,1,109
104-01,104,7,9
104-02,104,13,599
105-01,105,14,999
105-02,105,5,695
105-03,105,12,114
105-04,105,10,109
105-05,105,9,64
105-06,105,3,55
105-07,105,2,22
105-08,105,13,599
105-09,105,18,9
105-10,105,6,168
106-01,106,10,109
106-02,106,20,12
106-03,106,11,109
106-04,106,5,695
106-05,106,9,64
106-06,106,13,599
106-07,106,12,114
107-01,107,19,7
107-02,107,10,109
108-01,108,11,109
108-02,108,12,114
108-03,108,2,22
108-04,108,4,15
108-05,108,14,999
108-06,108,7,9
108-07,108,3,55
108-08,108,1,109
108-09,108,15,56
108-10,108,17,39
109-01,109,7,9
110-01,110,7,9
110-02,110,4,15
110-03,110,6,168
110-04,110,2,22
110-05,110,15,56
111-01,111,5,695
111-02,111,12,114
111-03,111,9,64
111-04,111,3,55
111-05,111,10,109
111-06,111,2,22
111-07,111,7,9
111-08,111,15,56
112-01,112,12,114
112-02,112,14,999
112-03,112,10,109
112-04,112,3,55
112-05,112,16,29
112-06,112,7,9
112-07,112,20,12
113-01,113,2,22
113-02,113,8,10
113-03,113,9,64
113-04,113,11,109
113-05,113,1,109
113-06,113,6,168
114-01,114,12,114
114-02,114,7,9
114-03,114,3,55
114-04,114,20,12
114-05,114,15,56
114-06,114,17,39
115-01,115,7,9
115-02,115,12,114
115-03,115,10,109
115-04,115,14,999
115-05,115,16,29
115-06,115,6,168
116-01,116,15,56
116-02,116,19,7
116-03,116,14,999
116-04,116,12,114
116-05,116,17,39
116-06,116,20,12
117-01,117,16,29
117-02,117,9,64
117-03,117,17,39
117-04,117,20,12
117-05,117,11,109
117-06,117,10,109
117-07,117,18,9
117-08,117,3,55
117-09,117,6,168
117-10,117,13,599
118-01,118,7,9
118-02,118,11,109
118-03,118,17,39
118-04,118,18,9
118-05,118,19,7
118-06,118,5,695
118-07,118,3,55
118-08,118,10,109
118-09,118,1,109
118-10,118,16,29
119-01,119,11,109
119-02,119,19,7
119-03,119,1,109
119-04,119,12,114
119-05,119,9,64
120-01,120,11,109
120-02,120,13,599
120-03,120,8,10
120-04,120,6,168
120-05,120,12,114
120-06,120,2,22
121-01,121,18,9
121-02,121,5,695
121-03,121,7,9
121-04,121,16,29
121-05,121,4,15
121-06,121,19,7
121-07,121,13,599
122-01,122,5,695
122-02,122,11,109
122-03,122,12,114
122-04,122,20,12
122-05,122,2,22
123-01,123,19,7
123-02,123,14,999
123-03,123,6,168
123-04,123,18,9
124-01,124,2,22
125-01,125,19,7
125-02,125,1,109
125-03,125,16,29
125-04,125,12,114
125-05,125,14,999
125-06,125,5,695
125-07,125,7,9
125-08,125,4,15
125-09,125,9,64
126-01,126,19,7
126-02,126,1,109
126-03,126,11,109
127-01,127,3,55
128-01,128,7,9
128-02,128,4,15
128-03,128,14,999
128-04,128,8,10
128-05,128,15,56
128-06,128,20,12
128-07,128,13,599
128-08,128,12,114
128-09,128,10,109
129-01,129,1,109
130-01,130,15,56
130-02,130,3,55
130-03,130,9,64
131-01,131,9,64
131-02,131,16,29
131-03,131,7,9
132-01,132,18,9
133-01,133,7,9
133-02,133,10,109
133-03,133,16,29
133-04,133,19,7
133-05,133,17,39
134-01,134,17,39
135-01,135,10,109
136-01,136,9,64
136-02,136,3,55
136-03,136,5,695
137-01,137,9,64
137-02,137,17,39
137-03,137,20,12
137-04,137,4,15
137-05,137,15,56
137-06,137,16,29
137-07,137,8,10
137-08,137,3,55
137-09,137,6,168
137-10,137,5,695
138-01,138,4,15
138-02,138,14,999
138-03,138,15,56
138-04,138,10,109
138-05,138,17,39
138-06,138,18,9
138-07,138,9,64
138-08,138,11,109
139-01,139,8,10
139-02,139,18,9
139-03,139,6,168
139-04,139,10,109
139-05,139,3,55
140-01,140,19,7
140-02,140,11,109
140-03,140,18,9
140-04,140,17,39
140-05,140,1,109
140-06,140,6,168
140-07,140,2,22
141-01,141,18,9
141-02,141,19,7
141-03,141,9,64
141-04,141,7,9
141-05,141,13,599
141-06,141,16,29
142-01,142,2,22
142-02,142,7,9
142-03,142,9,64
143-01,143,9,64
144-01,144,8,10
144-02,144,3,55
144-03,144,4,15
144-04,144,6,168
144-05,144,19,7
145-01,145,1,109
145-02,145,18,9
146-01,146,19,7
147-01,147,1,109
147-02,147,8,10
148-01,148,1,109
148-02,148,4,15
148-03,148,16,29
148-04,148,11,109
148-05,148,17,39
148-06,148,2,22
149-01,149,2,22
149-02,149,13,599
149-03,149,15,56
149-04,149,11,109
149-05,149,16,29
150-01,150,18,9
150-02,150,4,15
150-03,150,12,114
150-04,150,14,999
150-05,150,11,109
150-06,150,6,168
150-07,150,16,29
150-08,150,3,55
150-09,150,9,64
151-01,151,17,39
151-02,151,13,599
151-03,151,12,114
151-04,151,10,109
151-05,151,19,7
151-06,151,18,9
151-07,151,14,999
151-08,151,1,109
151-09,151,5,695
151-10,151,20,12
152-01,152,14,999
152-02,152,16,29
152-03,152,1,109
152-04,152,20,12
153-01,153,20,12
153-02,153,16,29
154-01,154,5,695
154-02,154,15,56
154-03,154,18,9
154-04,154,10,109
154-05,154,9,64
155-01,155,12,114
155-02,155,19,7
155-03,155,18,9
155-04,155,4,15
155-05,155,3,55
155-06,155,7,9
155-07,155,13,599
155-08,155,5,695
155-09,155,6,168
155-10,155,11,109
156-01,156,4,15
156-02,156,10,109
156-03,156,2,22
156-04,156,3,55
156-05,156,1,109
156-06,156,16,29
156-07,156,17,39
156-08,156,8,10
157-01,157,16,29
157-02,157,11,109
157-03,157,19,7
157-04,157,3,55
157-05,157,7,9
158-01,158,13,599
158-02,158,9,64
158-03,158,19,7
158-04,158,10,109
158-05,158,8,10
158-06,158,11,109
159-01,159,20,12
159-02,159,6,168
160-01,160,20,12
160-02,160,18,9
160-03,160,13,599
160-04,160,8,10
160-05,160,12,114
161-01,161,4,15
161-02,161,19,7
161-03,161,11,109
161-04,161,2,22
161-05,161,6,168
162-01,162,18,9
162-02,162,20,12
162-03,162,2,22
162-04,162,19,7
162-05,162,1,109
162-06,162,4,15
162-07,162,5,695
162-08,162,13,599
162-09,162,7,9
163-01,163,6,168
163-02,163,14,999
164-01,164,18,9
164-02,164,12,114
164-03,164,4,15
164-04,164,1,109
164-05,164,9,64
165-01,165,5,695
165-02,165,12,114
165-03,165,10,109
165-04,165,7,9
165-05,165,13,599
165-06,165,8,10
165-07,165,20,12
165-08,165,11,109
165-09,165,6,168
165-10,165,3,55
166-01,166,13,599
166-02,166,12,114
166-03,166,7,9
166-04,166,2,22
166-05,166,3,55
167-01,167,5,695
167-02,167,20,12
168-01,168,19,7
168-02,168,8,10
168-03,168,6,168
168-04,168,13,599
168-05,168,10,109
168-06,168,15,56
168-07,168,5,695
168-08,168,7,9
168-09,168,3,55
169-01,169,13,599
169-02,169,3,55
169-03,169,14,999
170-01,170,4,15
170-02,170,3,55
170-03,170,1,109
170-04,170,9,64
171-01,171,6,168
171-02,171,20,12
171-03,171,8,10
172-01,172,4,15
172-02,172,15,56
172-03,172,5,695
172-04,172,9,64
172-05,172,10,109
172-06,172,20,12
172-07,172,7,9
173-01,173,7,9
173-02,173,16,29
173-03,173,6,168
173-04,173,5,695
173-05,173,13,599
173-06,173,2,22
173-07,173,11,109
173-08,173,9,64
173-09,173,20,12
174-01,174,1,109
174-02,174,20,12
174-03,174,5,695
174-04,174,12,114
174-05,174,8,10
174-06,174,11,109
174-07,174,10,109
174-08,174,7,9
175-01,175,6,168
175-02,175,8,10
175-03,175,2,22
175-04,175,9,64
175-05,175,16,29
175-06,175,1,109
175-07,175,4,15
176-01,176,4,15
176-02,176,14,999
176-03,176,10,109
176-04,176,9,64
176-05,176,17,39
176-06,176,8,10
176-07,176,12,114
176-08,176,19,7
177-01,177,3,55
177-02,177,4,15
178-01,178,9,64
178-02,178,13,599
178-03,178,3,55
178-04,178,5,695
179-01,179,6,168
179-02,179,13,599
179-03,179,15,56
179-04,179,18,9
180-01,180,3,55
180-02,180,19,7
180-03,180,15,56
180-04,180,6,168
180-05,180,18,9
180-06,180,9,64
180-07,180,1,109
180-08,180,14,999
180-09,180,5,695
181-01,181,1,109
182-01,182,9,64
182-02,182,8,10
182-03,182,17,39
182-04,182,3,55
183-01,183,13,599
183-02,183,1,109
184-01,184,18,9
184-02,184,20,12
184-03,184,15,56
184-04,184,3,55
184-05,184,19,7
185-01,185,7,9
185-02,185,17,39
185-03,185,1,109
185-04,185,20,12
185-05,185,19,7
186-01,186,2,22
186-02,186,20,12
186-03,186,8,10
186-04,186,5,695
186-05,186,15,56
186-06,186,19,7
186-07,186,7,9
187-01,187,2,22
187-02,187,9,64
187-03,187,1,109
187-04,187,17,39
187-05,187,12,114
187-06,187,11,109
188-01,188,7,9
188-02,188,18,9
189-01,189,7,9
189-02,189,4,15
189-03,189,9,64
189-04,189,13,599
189-05,189,14,999
190-01,190,7,9
190-02,190,5,695
191-01,191,11,109
191-02,191,13,599
191-03,191,7,9
192-01,192,5,695
192-02,192,4,15
192-03,192,10,109
192-04,192,1,109
192-05,192,19,7
192-06,192,13,599
192-07,192,8,10
192-08,192,12,114
193-01,193,11,109
193-02,193,13,599
193-03,193,18,9
193-04,193,10,109
194-01,194,5,695
194-02,194,20,12
194-03,194,7,9
194-04,194,10,109
194-05,194,18,9
194-06,194,2,22
194-07,194,3,55
194-08,194,14,999
194-09,194,9,64
194-10,194,6,168
195-01,195,9,64
195-02,195,1,109
195-03,195,6,168
195-04,195,12,114
195-05,195,18,9
195-06,195,13,599
195-07,195,3,55
195-08,195,19,7
196-01,196,16,29
196-02,196,1,109
196-03,196,2,22
196-04,196,14,999
196-05,196,5,695
196-06,196,7,9
196-07,196,19,7
196-08,196,15,56
196-09,196,6,168
196-10,196,11,109
197-01,197,19,7
197-02,197,11,109
197-03,197,5,695
197-04,197,13,599
197-05,197,14,999
197-06,197,6,168
197-07,197,10,109
197-08,197,4,15
197-09,197,15,56
197-10,197,1,109
198-01,198,10,109
199-01,199,6,168
199-02,199,5,695
199-03,199,12,114
199-04,199,2,22
199-05,199,10,109
199-06,199,9,64
200-01,200,6,168
200-02,200,11,109
200-03,200,15,56
201-01,201,18,9
201-02,201,15,56
201-03,201,8,10
201-04,201,10,109
201-05,201,17,39
201-06,201,14,999
201-07,201,12,114
201-08,201,19,7
202-01,202,6,168
202-02,202,15,56
202-03,202,13,599
203-01,203,4,15
203-02,203,19,7
203-03,203,6,168
203-04,203,9,64
203-05,203,17,39
203-06,203,15,56
203-07,203,20,12
203-08,203,12,114
204-01,204,2,22
204-02,204,12,114
204-03,204,17,39
205-01,205,19,7
205-02,205,18,9
205-03,205,13,599
205-04,205,14,999
205-05,205,5,695
205-06,205,1,109
206-01,206,3,55
206-02,206,2,22
206-03,206,4,15
206-04,206,9,64
206-05,206,15,56
206-06,206,5,695
207-01,207,7,9
207-02,207,17,39
207-03,207,8,10
208-01,208,9,64
208-02,208,19,7
208-03,208,1,109
208-04,208,3,55
208-05,208,5,695
209-01,209,17,39
210-01,210,10,109
210-02,210,7,9
210-03,210,4,15
210-04,210,9,64
210-05,210,6,168
210-06,210,11,109
210-07,210,18,9
211-01,211,3,55
211-02,211,17,39
211-03,211,4,15
212-01,212,7,9
212-02,212,5,695
212-03,212,15,56
212-04,212,11,109
212-05,212,14,999
212-06,212,10,109
212-07,212,18,9
212-08,212,4,15
213-01,213,20,12
213-02,213,17,39
213-03,213,4,15
213-04,213,7,9
213-05,213,13,599
213-06,213,19,7
213-07,213,12,114
213-08,213,1,109
214-01,214,11,109
214-02,214,7,9
214-03,214,10,109
214-04,214,15,56
214-05,214,14,999
214-06,214,16,29
214-07,214,9,64
215-01,215,8,10
215-02,215,19,7
215-03,215,3,55
215-04,215,14,999
215-05,215,5,695
216-01,216,6,168
216-02,216,2,22
216-03,216,9,64
217-01,217,20,12
217-02,217,1,109
217-03,217,16,29
217-04,217,14,999
217-05,217,9,64
217-06,217,3,55
217-07,217,11,109
217-08,217,6,168
217-09,217,15,56
217-10,217,4,15
218-01,218,7,9
218-02,218,15,56
218-03,218,18,9
218-04,218,3,55
218-05,218,14,999
218-06,218,20,12
218-07,218,16,29
218-08,218,8,10
218-09,218,12,114
219-01,219,9,64
219-02,219,17,39
219-03,219,7,9
219-04,219,10,109
219-05,219,2,22
219-06,219,4,15
219-07,219,8,10
219-08,219,18,9
219-09,219,13,599
220-01,220,7,9
220-02,220,13,599
220-03,220,11,109
220-04,220,19,7
220-05,220,14,999
220-06,220,16,29
221-01,221,7,9
221-02,221,9,64
221-03,221,15,56
221-04,221,12,114
221-05,221,8,10
221-06,221,16,29
221-07,221,6,168
221-08,221,14,999
222-01,222,9,64
222-02,222,7,9
222-03,222,8,10
222-04,222,11,109
222-05,222,17,39
222-06,222,19,7
222-07,222,15,56
222-08,222,3,55
223-01,223,13,599
224-01,224,20,12
225-01,225,8,10
225-02,225,5,695
225-03,225,14,999
225-04,225,20,12
225-05,225,13,599
225-06,225,18,9
225-07,225,11,109
225-08,225,17,39
225-09,225,1,109
226-01,226,14,999
226-02,226,17,39
226-03,226,12,114
226-04,226,5,695
226-05,226,6,168
226-06,226,2,22
226-07,226,20,12
227-01,227,10,109
227-02,227,9,64
227-03,227,1,109
227-04,227,2,22
227-05,227,6,168
227-06,227,11,109
228-01,228,13,599
228-02,228,12,114
228-03,228,1,109
228-04,228,7,9
228-05,228,11,109
229-01,229,16,29
230-01,230,16,29
231-01,231,3,55
231-02,231,14,999
231-03,231,20,12
231-04,231,8,10
231-05,231,1,109
231-06,231,12,114
231-07,231,16,29
231-08,231,10,109
231-09,231,4,15
231-10,231,18,9
232-01,232,12,114
232-02,232,16,29
233-01,233,9,64
233-02,233,4,15
233-03,233,17,39
233-04,233,6,168
234-01,234,17,39
234-02,234,14,999
235-01,235,13,599
235-02,235,20,12
236-01,236,6,168
236-02,236,5,695
236-03,236,20,12
236-04,236,18,9
236-05,236,17,39
236-06,236,3,55
236-07,236,11,109
237-01,237,7,9
237-02,237,8,10
237-03,237,14,999
237-04,237,12,114
237-05,237,13,599
237-06,237,9,64
238-01,238,6,168
238-02,238,3,55
238-03,238,18,9
239-01,239,8,10
239-02,239,20,12
239-03,239,10,109
239-04,239,5,695
240-01,240,17,39
240-02,240,3,55
240-03,240,11,109
240-04,240,2,22
240-05,240,13,599
240-06,240,8,10
240-07,240,14,999
240-08,240,20,12
240-09,240,6,168
241-01,241,5,695
241-02,241,4,15
241-03,241,11,109
241-04,241,14,999
241-05,241,17,39
241-06,241,3,55
242-01,242,19,7
242-02,242,18,9
242-03,242,20,12
242-04,242,4,15
242-05,242,17,39
242-06,242,16,29
242-07,242,14,999
243-01,243,13,599
243-02,243,19,7
243-03,243,7,9
243-04,243,11,109
243-05,243,1,109
243-06,243,2,22
244-01,244,7,9
244-02,244,17,39
244-03,244,11,109
244-04,244,19,7
244-05,244,20,12
244-06,244,1,109
244-07,244,15,56
244-08,244,18,9
244-09,244,2,22
245-01,245,14,999
245-02,245,15,56
245-03,245,12,114
245-04,245,13,599
245-05,245,10,109
246-01,246,12,114
246-02,246,10,109
246-03,246,5,695
246-04,246,20,12
246-05,246,11,109
246-06,246,14,999
246-07,246,1,109
246-08,246,9,64
247-01,247,12,114
247-02,247,5,695
247-03,247,14,999
247-04,247,6,168
247-05,247,8,10
247-06,247,7,9
247-07,247,18,9
247-08,247,4,15
247-09,247,3,55
248-01,248,2,22
248-02,248,19,7
248-03,248,8,10
249-01,249,1,109
249-02,249,9,64
249-03,249,17,39
249-04,249,11,109
249-05,249,2,22
249-06,249,7,9
250-01,250,2,22
250-02,250,19,7
250-03,250,3,55
250-04,250,12,114
250-05,250,10,109
250-06,250,13,599
250-07,250,1,109
251-01,251,2,22
251-02,251,10,109
251-03,251,18,9
251-04,251,5,695
251-05,251,11,109
251-06,251,19,7
251-07,251,9,64
252-01,252,9,64
252-02,252,17,39
252-03,252,19,7
252-04,252,16,29
252-05,252,1,109
252-06,252,6,168
252-07,252,18,9
252-08,252,8,10
253-01,253,11,109
253-02,253,15,56
253-03,253,10,109
253-04,253,2,22
253-05,253,14,999
253-06,253,7,9
253-07,253,19,7
253-08,253,20,12
253-09,253,12,114
253-10,253,8,10
254-01,254,13,599
254-02,254,10,109
254-03,254,14,999
254-04,254,17,39
255-01,255,3,55
255-02,255,9,64
255-03,255,6,168
256-01,256,11,109
256-02,256,6,168
256-03,256,3,55
257-01,257,4,15
257-02,257,5,695
257-03,257,2,22
257-04,257,9,64
257-05,257,16,29
257-06,257,6,168
258-01,258,11,109
258-02,258,12,114
258-03,258,18,9
258-04,258,20,12
259-01,259,9,64
259-02,259,6,168
259-03,259,3,55
259-04,259,2,22
259-05,259,19,7
259-06,259,7,9
